Feature name	Note	Registry ID	GRACEv2 Plate	GRACEv2 Position	No_DOX_score	DOX_score	Essential_verdict
CR_05940W_A		GELC0279	Plate 03	C07	0	0	NE
C2_04260W_A		GELC0280	Plate 03	C08	0	0	NE
C1_13470W_A		GELC0281	Plate 03	C09	0	0	NE
CR_03900W_A		GELC0282	Plate 03	C10	0	0	NE
C2_03770C_A		GELC0283	Plate 03	C11	0	0	NE
C2_10260C_A		GELC0284	Plate 03	C12	0	0	NE
C3_06620W_A		GELC0285	Plate 03	D01	0	0	NE
CR_10660W_A		GELC0287	Plate 03	D02	0	0	NE
C3_04550C_A		GELC0288	Plate 03	D03	0	0	NE
C5_03310C_A		GELC0289	Plate 03	D04	0	0	NE
C1_06780W_A		GELC0290	Plate 03	D05	0	0	NE
C3_00790W_A		GELC0291	Plate 03	D06	0	0	NE
C5_02560C_A		GELC0292	Plate 03	D07	0	0.166666667	GD
CR_02040W_A		GELC0293	Plate 03	D08	0	0	NE
C6_02190C_A		GELC0294	Plate 03	D09	0	0	NE
C2_00300C_A		GELC0296	Plate 03	D10	0	0	NE
C5_01490C_A		GELC0297	Plate 03	D11	0	0	NE
C1_04520C_A		GELC0298	Plate 03	D12	0	0	NE
C4_04460C_A		GELC0300	Plate 03	E01	0	0	NE
C7_04110W_A		GELC0301	Plate 03	E02	0	0	NE
C2_10750C_A		GELC0303	Plate 03	E03	0	0	NE
C2_09230C_A		GELC0304	Plate 03	E04	0	0	NE
C7_02800W_A		GELC0305	Plate 03	E05	0	0	NE
C1_04090C_A		GELC0307	Plate 03	E06	0	0	NE
C1_13610C_A		GELC0308	Plate 03	E07	0	0	NE
C1_10010C_A		GELC0309	Plate 03	E08	0	0	NE
C6_03010W_A		GELC0310	Plate 03	E09	0	0	NE
C7_02990W_A		GELC0311	Plate 03	E10	0	0	NE
C2_04760W_A		GELC0312	Plate 03	E11	0	0	NE
C5_02670W_A		GELC0313	Plate 03	E12	0	0	NE
CR_07240C_A		GELC0314	Plate 03	F01	0	0	NE
C1_06680W_A		GELC0315	Plate 03	F02	0	0	NE
C1_07380C_A		GELC0316	Plate 03	F03	0	0	NE
C1_07970C_A		GELC0317	Plate 03	F04	0	0	NE
C1_10210C_A		GELC0318	Plate 03	F05	0	0	NE
C1_11400C_A		GELC0319	Plate 03	F06	0	0	NE
C2_07330W_A		GELC0320	Plate 03	F07	0	0.666666667	GD
C7_00740W_A		GELC0322	Plate 03	F08	0	0	NE
CR_00260W_A		GELC0323	Plate 03	F09	0	0	NE
C1_05760C_A		GELC0328	Plate 03	F10	0	0	NE
C1_05960W_A		GELC0329	Plate 03	F11	0	0	NE
C2_00660C_A		GELC0331	Plate 03	F12	0	0	NE
C2_00800C_A		GELC0332	Plate 03	G01	0	0	NE
C2_00910W_A		GELC0333	Plate 03	G02	0	0	NE
C2_03350W_A		GELC0334	Plate 03	G03	0	0	NE
C2_03440W_A		GELC0335	Plate 03	G04	0	0	NE
C2_08590W_A		GELC0337	Plate 03	G05	0	0	NE
C2_09210W_A		GELC0339	Plate 03	G06	0	0	NE
C3_01370C_A		GELC0340	Plate 03	G07	0	0	NE
C3_02300W_A		GELC0341	Plate 03	G08	0	0	NE
C3_03050C_A		GELC0342	Plate 03	G09	0	0	NE
C3_06190C_A		GELC0343	Plate 03	G10	0	0	NE
C3_07160W_A		GELC0344	Plate 03	G11	0	0	NE
C4_01330W_A		GELC0346	Plate 03	G12	0	0	NE
C4_01340W_A		GELC0347	Plate 03	H01	0	0	NE
C4_01360W_A		GELC0348	Plate 03	H02	0	0	NE
C4_02390W_A		GELC0349	Plate 03	H03	0	0	NE
C4_02440C_A		GELC0350	Plate 03	H04	0	0	NE
C4_03510C_A		GELC0352	Plate 03	H05	0	0	NE
C4_04070C_A		GELC0353	Plate 03	H06	0	0	NE
C4_04470W_A		GELC0354	Plate 03	H07	0	0	NE
C4_04530C_A		GELC0355	Plate 03	H08	0	0	NE
C4_06310C_A		GELC0356	Plate 03	H09	0	0	NE
C4_06550C_A		GELC0357	Plate 03	H10	0	0	NE
C4_06560W_A		GELC0358	Plate 03	H11	0	0	NE
C6_01680C_A		GELC0359	Plate 03	H12	0	0	NE
	CaLC3365 Wild type HIS+		Plate 04	A01			
	CaLC6106 Wild type HIS-		Plate 04	A02			
	tetO-BRC1 Nonessential control		Plate 04	A03			
	Empty		Plate 04	A04			
	Empty		Plate 04	A05			
	tetO-HSP90 Essential control		Plate 04	A06			
C6_03060W_A		GELC0360	Plate 04	A07	0	0	NE
C6_03860C_A		GELC0363	Plate 04	A08	0	0	NE
C6_04130C_A		GELC0364	Plate 04	A09	0	0	NE
C7_00190W_A		GELC0365	Plate 04	A10	0	0	NE
C7_00860W_A		GELC0366	Plate 04	A11	0	0	NE
C7_03110W_A		GELC0367	Plate 04	A12	0	0	NE
CR_01430W_A		GELC0368	Plate 04	B01	0	0	NE
C3_05050W_A		GELC0369	Plate 04	B02	0	0	NE
C5_00940C_A		GELC0370	Plate 04	B03	0	0.5	GD
CR_04420C_A		GELC0371	Plate 04	B04	0	0	NE
CR_08190W_A		GELC0372	Plate 04	B05	0	0	NE
CR_09690C_A		GELC0373	Plate 04	B06	0	0	NE
C1_13450W_A		GELC0374	Plate 04	B07	0	0	NE
C2_08990C_A		GELC0375	Plate 04	B08	0	0	NE
C3_06320W_A		GELC0376	Plate 04	B09	0	0	NE
C5_00730W_A		GELC0377	Plate 04	B10	0	0	NE
C6_00070C_A		GELC0378	Plate 04	B11	0	0	NE
C6_03710W_A		GELC0379	Plate 04	B12	0	0	NE
C7_00090C_A		GELC0380	Plate 04	C01	0	0	NE
CR_00610W_A		GELC0381	Plate 04	C02	0	0	NE
CR_01290C_A		GELC0382	Plate 04	C03	0	0	NE
CR_02680W_A		GELC0389	Plate 04	C04	0	4	E
CR_08950W_A		GELC0391	Plate 04	C05	0	0	NE
C1_05660C_A		GELC0393	Plate 04	C06	0	4	E
C5_02230W_A		GELC0394	Plate 04	C07	0	4	E
C3_00290W_A		GELC0395	Plate 04	C08	0	4	E
CR_01610C_A		GELC0396	Plate 04	C09	0	0	NE
C2_02240C_A		GELC0397	Plate 04	C10	0	0	NE
C1_02810W_A		GELC0398	Plate 04	C11	0	0	NE
C1_06650W_A		GELC0399	Plate 04	C12	0	0	NE
C1_03730C_A		GELC0400	Plate 04	D01	0	0	NE
C5_04600C_A		GELC0401	Plate 04	D02	0	0	NE
C7_03870W_A		GELC0402	Plate 04	D03	0	0	NE
C2_00970C_A		GELC0403	Plate 04	D04	0	0	NE
C5_00560W_A		GELC0404	Plate 04	D05	0	0	NE
C4_01470W_A		GELC0405	Plate 04	D06	0	0	NE
C4_00460C_A		GELC0406	Plate 04	D07	0	0.333333333	GD
C7_02860C_A		GELC0407	Plate 04	D08	0	0	NE
C7_04050W_A		GELC0408	Plate 04	D09	0	0	NE
C1_05330C_A		GELC0409	Plate 04	D10	0	0	NE
C1_04960C_A		GELC0410	Plate 04	D11	0	0	NE
C1_03810C_A		GELC0412	Plate 04	D12	0	0	NE
C4_05250W_A		GELC0413	Plate 04	E01	0	0	NE
C6_03050C_A		GELC0414	Plate 04	E02	0	0	NE
C3_00310C_A		GELC0415	Plate 04	E03	0	0	NE
C3_07610W_A		GELC0416	Plate 04	E04	0	0	NE
C5_03570W_A		GELC0417	Plate 04	E05	0.333333333	0	NE
C3_05110W_A		GELC0418	Plate 04	E06	0	0	NE
C3_00940W_A		GELC0419	Plate 04	E07	0	0	NE
C1_01560W_A		GELC0420	Plate 04	E08	0.333333333	0	NE
C2_10050W_A		GELC0423	Plate 04	E09	0	0	NE
C3_04970C_A		GELC0424	Plate 04	E10	0	0	NE
C4_02960W_A		GELC0425	Plate 04	E11	0	0	NE
C1_03610C_A		GELC0428	Plate 04	E12	0	0	NE
C1_05300C_A		GELC0430	Plate 04	F01	0	0	NE
C2_00700W_A		GELC0431	Plate 04	F02	0	0	NE
C3_06230W_A		GELC0432	Plate 04	F03	0	0	NE
C4_03230C_A		GELC0433	Plate 04	F04	0	0	NE
C4_04550C_A		GELC0434	Plate 04	F05	0	0	NE
C5_00860W_A		GELC0435	Plate 04	F06	0	0	NE
CR_09470W_A		GELC0436	Plate 04	F07	0	0	NE
C6_02860W_A		GELC0437	Plate 04	F08	0	0	NE
CR_04340W_A		GELC0438	Plate 04	F09	0	0	NE
C1_13780W_A		GELC0439	Plate 04	F10	0	2.375	GD
C2_04230W_A		GELC0440	Plate 04	F11	0	0	NE
C2_04500W_A		GELC0441	Plate 04	F12	0	0.166666667	GD
C3_02960C_A		GELC0443	Plate 04	G01	0	0	NE
C3_04760C_A		GELC0444	Plate 04	G02	0	0	NE
CR_00640W_A		GELC0447	Plate 04	G03	0	4	E
CR_03700C_A		GELC0448	Plate 04	G04	0	0	NE
C2_02760W_A		GELC0449	Plate 04	G05	0	0	NE
C3_05680W_A		GELC0451	Plate 04	G06	0	0	NE
C2_09930W_A		GELC0453	Plate 04	G07	0	0	NE
C1_05750C_A		GELC0455	Plate 04	G08	0	0	NE
C3_00670C_A		GELC0456	Plate 04	G09			
C2_04220C_A		GELC0459	Plate 04	G10	0	0	NE
C1_03740W_A		GELC0460	Plate 04	G11	0	0	NE
C1_07020C_A		GELC0461	Plate 04	G12	0	0.166666667	GD
C1_00670C_A		GELC0462	Plate 04	H01	0	0	NE
C3_05470W_A		GELC0463	Plate 04	H02	0	0	NE
CR_03240C_A		GELC0464	Plate 04	H03	0	0	NE
C1_09180W_A		GELC0465	Plate 04	H04	0	0	NE
C6_02750C_A		GELC0466	Plate 04	H05	0	0	NE
C4_02500C_A		GELC0468	Plate 04	H06	0	0	NE
C4_02530W_A		GELC0470	Plate 04	H07	0	0	NE
C3_05920W_A		GELC0471	Plate 04	H08	0	0	NE
C2_02530W_A		GELC0473	Plate 04	H09	0	0	NE
C4_02220C_A		GELC0475	Plate 04	H10	0	0	NE
C1_11810W_A		GELC0476	Plate 04	H11	0	0	NE
C1_09100W_A		GELC0478	Plate 04	H12	0	0	NE
	CaLC3365 Wild type HIS+		Plate 05	A01			
	CaLC6106 Wild type HIS-		Plate 05	A02			
	tetO-BRC1 Nonessential control		Plate 05	A03			
	tetO-HSP90 Essential control		Plate 05	A04			
	Empty		Plate 05	A05			
	Empty		Plate 05	A06			
CR_05540C_A		GELC0479	Plate 05	A07	0	0	NE
C5_01500C_A		GELC0480	Plate 05	A08	0	0	NE
C2_01870C_A		GELC0481	Plate 05	A09	0	0	NE
C2_01880C_A		GELC0482	Plate 05	A10	0	0	NE
C7_03220C_A		GELC0483	Plate 05	A11	0	0	NE
C3_01580W_A		GELC0484	Plate 05	A12	0	0	NE
C5_01850C_A		GELC0485	Plate 05	B01	0	0	NE
C2_02250C_A		GELC0486	Plate 05	B02	0	0	NE
CR_02120C_A		GELC0488	Plate 05	B03	0	0	NE
C3_06850W_A		GELC0490	Plate 05	B04	0	0	NE
C2_01890W_A		GELC0491	Plate 05	B05	0	0	NE
C4_01380W_A		GELC0492	Plate 05	B06	0	0	NE
C3_06310C_A		GELC0493	Plate 05	B07	0	0	NE
C3_05930W_A		GELC0494	Plate 05	B08	0	0	NE
C5_02180C_A		GELC0495	Plate 05	B09	0	0	NE
C3_02640C_A		GELC0496	Plate 05	B10	0	0	NE
CR_06240C_A		GELC0497	Plate 05	B11	0	0	NE
C3_01220W_A		GELC0498	Plate 05	B12	0	0	NE
C2_00720C_A		GELC0499	Plate 05	C01	0	0	NE
C3_07200C_A		GELC0500	Plate 05	C02	0	0	NE
